Next_State,Probability,Company,Ticker
-1,0.5326192794547225,kruk,kru
-1,0.5168986083499006,lpp,lpp
1,0.5155615696887687,pepco,pep
-1,0.5080971659919028,kghm,kgh
-1,0.5067437379576107,pge,pge
-1,0.5062200956937799,alior,alr
-1,0.5034146341463415,orange,opl
-1,0.49952874646559847,dino,dnp
-1,0.49898580121703856,budimex,bdx
1,0.497164461247637,pkn,pkn
-1,0.49714285714285716,santander,spl
-1,0.49433962264150944,allegro,ale
-1,0.49375600384245916,pko,pko
-1,0.49375600384245916,pekao,pko
1,0.49056603773584906,allegro,ale
-1,0.4905482041587902,pkn,pkn
1,0.4899904671115348,pzu,pzu
-1,0.48852772466539196,mbank,mbk
1,0.48732394366197185,cd projekt,cdr
-1,0.48625592417061614,ccc,ccc
-1,0.48450704225352115,cd projekt,cdr
1,0.4818355640535373,mbank,mbk
-1,0.48141086749285034,pzu,pzu
1,0.48,santander,spl
1,0.47879359095193214,dino,dnp
1,0.4786729857819905,ccc,ccc
1,0.4741463414634146,orange,opl
1,0.47081339712918663,alior,alr
1,0.4697406340057637,pko,pko
1,0.4697406340057637,pekao,pko
1,0.4653179190751445,pge,pge
1,0.4564777327935223,kghm,kgh
1,0.44726166328600403,budimex,bdx
1,0.44206426484907496,kruk,kru
1,0.4363817097415507,lpp,lpp
-1,0.2665764546684709,pepco,pep
0,0.2178619756427605,pepco,pep
0,0.0537525354969574,budimex,bdx
0,0.04671968190854871,lpp,lpp
0,0.03650336215177714,pekao,pko
0,0.03650336215177714,pko,pko
0,0.0354251012145749,kghm,kgh
0,0.035071090047393366,ccc,ccc
0,0.029636711281070746,mbank,mbk
0,0.028598665395614873,pzu,pzu
0,0.028169014084507043,cd projekt,cdr
0,0.027938342967244702,pge,pge
0,0.02531645569620253,kruk,kru
0,0.022966507177033493,alior,alr
0,0.022857142857142857,santander,spl
0,0.0224390243902439,orange,opl
0,0.021677662582469368,dino,dnp
0,0.01509433962264151,allegro,ale
0,0.012287334593572778,pkn,pkn
